TransactionID,TransactionType,IsEmployee,IsRefurb,IsBeerBike,TurnaroundTime,QueueBikes,QueueRepairs,ModelRepairCost,OtherRepairCost,RepairCost,PartCost,TotalCost,DayCreated,DayCompleted,RearFlatRepair,AdjustRimBrake,InstallingLever,InstallBrakePads,InstallBrake,InstallBrakeCable,HeadsetAdjustment,AdjustDiskBrake,HeadsetOverhaul,WrapHandlebars,InstallGrips,InstallHandlebars,AdjustBottomBracket,InstallBottomBracket,InstalStem,InstallShifter,OverhaulBottomBracket,InstallShifterCable,InstallDerailleur,MajorClean,AdjustFrontDerailleur,AdjustRearDerailleur,AlignDerailleurHanger,InstallRearRack,ReplacePedals(Set),ReplacePedal(Single),ReplaceChain,InstallFreewheel,ReplaceCrankset,InstallBasket,FlatRepair,InstallCassette,ReplaceOneTube,ReplaceOneTire,InstallOneTire,HubOverhaul(Front),CleanAndLubeChain,HubOverhaul(Rear),CoasterHubOverhaul,Level1TuneUp,AdjustHubBearings(Front),Level2TuneUp,Level3TuneUp,AdjustHubBearings(Rear),MinorAdjustment,InstallWheel,FrontWheelTrue,RearWheelTrue,BrakeBleed(Single),BrakeBleed(Both),BikeBuild,InstallFrontSpoke,InstallRearSpoke,InstallSaddle,TapThreads,BrakeArmInstall,On-BikeWheelTrue,InstallHoods,PatchTube,ReplaceChainring,ReplaceBrakeLever,InstallSingle/UsedFender,FrontFlatRepair,StraightenBrakeLever,ReplaceRimTape,ShortenChain,InstallCartridgeBottomBracket,ReplaceFork,BikeBuild,AdjustChainTension
9450,inpatient,false,false,false,18.021948444444444,0,0,0,0,0,300.92,300.92,237,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9451,inpatient,false,false,false,18.004145,1,0,0,0,0,270.63,270.63,237,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9452,inpatient,false,false,false,7.771707222222222,2,0,0,0,0,300.92,300.92,237,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9453,inpatient,false,false,false,7.597394555555556,3,0,0,0,0,327.99,327.99,237,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9454,inpatient,false,false,false,7.839203555555556,4,0,0,0,0,308.51,308.51,237,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9455,inpatient,false,false,false,15.788528,5,0,0,0,0,495.76,495.76,237,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9456,inpatient,false,false,false,13.852327111111112,6,0,0,0,0,365.87,365.87,237,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9458,inpatient,false,false,false,2.8303707777777776,7,0,7,0,7,13.57,20.57,239,239,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9459,inpatient,false,false,false,1.0542647777777778,8,7,7,0,7,13.57,20.57,239,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
9462,merch,false,false,false,0.05564544444444444,9,14,0,0,0,122.31,122.31,239,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9463,merch,false,false,false,0.007277444444444444,9,14,0,0,0,138.55,138.55,239,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9464,inpatient,false,false,false,0.9266942222222222,9,14,7,0,7,7.07,14.07,239,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
9465,merch,false,false,false,0.0028705555555555554,10,21,0,0,0,30.3,30.3,239,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9466,merch,false,false,false,0.021443,10,21,0,0,0,269.54,269.54,239,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9467,inpatient,false,false,false,2.564936888888889,10,21,7,0,7,7.07,14.07,239,239,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9468,inpatient,false,false,false,1.9289631111111112,11,28,7,0,7,13.57,20.57,239,239,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9470,outpatient,false,false,false,0.005836333333333333,12,35,0,0,0,5.41,5.41,239,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
